10	10	1	
15	4	2	9	6	9	7	6	9	9	2	1	12	9	6	5	1	18	2	6	7	15	9	15	10	6	2	1	15	8	6	3	3	15	5	12	7	15	5	1	6	2	6	3	18	8	15	10	6	3	1	9	5	9	6	9	5	1	12	2	6	4	18	5	12	9	12	2	1	9	10	9	2	5	12	7	6	2	4	9	7	15	5	1	6	2	18	3	18	4	6	5	12	3	4	15	8	15	10	18	3	3	6	7	9	9	12	3	1	9	5	12	9	12	
15	5	1	18	2	12	3	12	8	12	10	15	5	1	18	2	9	7	15	9	15	10	9	3	1	18	5	15	6	18	5	1	18	2	9	3	15	4	12	5	6	2	4	18	7	12	2	1	18	10	9	3	4	9	8	15	10	9	2	5	6	7	15	3	3	15	7	15	9	6	3	3	9	5	15	7	18	3	1	9	5	6	9	9	2	1	12	9	15	2	1	6	8	18	4	2	6	6	18	7	9	9	18	5	1	6	2	9	4	6	5	12	9	12	
15	2	1	15	8	12	2	5	12	7	12	2	1	6	10	12	2	4	15	7	12	5	1	18	2	15	3	6	4	6	5	18	3	1	18	5	6	9	6	2	1	9	9	18	3	3	9	7	9	9	15	5	1	6	2	18	7	9	9	15	10	6	4	2	15	6	15	7	12	9	6	5	1	6	2	15	3	9	8	18	10	6	3	4	15	8	15	10	15	5	1	6	2	9	4	15	5	6	9	18	3	1	12	5	18	6	18	3	3	15	5	9	7	6	
15	3	1	18	5	15	6	6	5	1	15	2	9	4	18	5	9	9	6	5	1	18	2	18	3	18	8	12	10	12	5	1	18	2	12	3	6	4	6	5	12	2	4	18	7	9	2	1	9	10	15	3	3	6	5	15	7	18	2	1	15	9	9	3	3	18	7	18	9	18	3	1	12	5	12	9	9	4	2	12	6	9	7	9	9	9	2	1	12	8	12	5	1	18	2	9	7	6	9	18	10	15	2	5	18	7	6	3	4	6	8	18	10	15	
15	3	4	18	8	6	10	15	2	1	6	8	9	3	1	9	5	12	9	18	2	1	15	9	15	3	3	18	5	6	7	6	5	1	6	2	6	3	18	4	9	5	6	3	1	6	5	15	6	12	3	3	15	7	6	9	15	4	2	18	6	9	7	18	9	6	2	1	18	10	15	5	1	18	2	12	7	18	9	9	10	6	2	5	15	7	6	5	1	6	2	12	4	12	5	15	9	18	5	1	15	2	12	3	9	8	15	10	12	2	4	6	7	15	
15	3	3	9	5	9	7	18	5	1	18	2	9	3	18	8	6	10	18	2	5	6	7	18	3	1	18	5	15	6	18	5	1	9	2	18	4	15	5	18	9	9	2	4	9	7	18	2	1	9	9	9	5	1	12	2	12	3	6	4	6	5	15	5	1	6	2	9	7	9	9	18	10	15	4	2	6	6	9	7	9	9	9	2	1	9	8	18	3	3	6	7	6	9	9	2	1	6	10	12	3	1	18	5	9	9	6	3	4	12	8	15	10	6	
15	3	1	9	5	9	6	9	3	4	15	8	9	10	9	3	3	15	5	9	7	12	5	1	9	2	15	3	6	8	18	10	6	2	1	18	8	6	2	1	6	9	9	5	1	12	2	12	3	6	4	6	5	18	3	3	15	7	18	9	12	5	1	18	2	6	7	6	9	18	10	9	3	1	6	5	18	9	9	2	1	9	10	18	4	2	6	6	18	7	15	9	18	2	5	9	7	15	2	4	9	7	15	5	1	9	2	15	4	6	5	9	9	15	
15	5	1	9	2	6	7	15	9	12	10	6	3	3	15	7	15	9	18	3	3	12	5	6	7	9	2	1	12	8	9	3	1	15	5	15	6	12	5	1	15	2	18	4	6	5	9	9	12	3	4	9	8	9	10	18	3	1	18	5	12	9	6	2	1	9	9	15	4	2	15	6	15	7	18	9	15	5	1	15	2	15	3	6	8	9	10	9	2	4	9	7	6	2	1	9	10	6	5	1	12	2	9	3	15	4	6	5	6	2	5	9	7	9	
15	4	2	6	6	9	7	9	9	18	3	1	12	5	15	9	6	3	3	9	5	12	7	15	5	1	12	2	15	7	18	9	15	10	9	5	1	9	2	9	3	18	4	6	5	18	2	4	12	7	9	2	1	6	9	18	3	4	18	8	18	10	9	5	1	9	2	9	3	9	8	6	10	6	2	1	18	10	15	5	1	12	2	18	4	12	5	15	9	18	3	3	12	7	12	9	15	2	5	18	7	15	2	1	12	8	9	3	1	6	5	15	6	18	
15	2	1	15	8	12	4	2	6	6	9	7	12	9	9	3	4	6	8	18	10	18	3	3	15	5	12	7	6	3	3	6	7	9	9	6	2	1	15	10	6	2	5	15	7	9	3	1	12	5	9	9	15	5	1	18	2	9	7	12	9	18	10	9	5	1	15	2	15	4	9	5	9	9	9	5	1	18	2	9	3	18	8	6	10	15	3	1	12	5	6	6	15	5	1	6	2	15	3	12	4	18	5	6	2	4	12	7	6	2	1	18	9	12	
